product_id,product_name,brand,category,original_price,sale_price,rating_count,frequently_bought,shop_type,discount_percent,platform,thumbnail_url,source_platform,product_url,crawl_timestamp
BHX_0_v0,thùng 24 lon nước ngọt pepsi không calo vị chanh 320ml,pepsi,FMCG,294000,251000,143.0,"Nước tăng lực Sting Gold 320ml, 6 lon nước ngọt Sprite chanh 320ml",BHX Supermarket,14.63,bhx,,,,
BHX_2_v0,thùng 24 lon pepsi sleek 235ml,pepsi,FMCG,218000,186000,440.0,"4 hộp sữa lúa mạch Milo 180ml, /24 lon 320ml",BHX Supermarket,14.68,bhx,,,,
BHX_4_v0,thùng 24 lon nước ngọt pepsi không calo 320ml,pepsi,FMCG,294000,251000,362.0,"Nước ngọt Mirinda cam lon 320ml, Thùng 48 hộp sữa chua YoMost lựu 170ml",BHX Supermarket,14.63,bhx,,,,
BHX_22_v0,thùng 24 lon nước ngọt coca cola 235ml,coca,FMCG,218000,186000,385.0,"Nước ngọt Coca Cola Zero lon 320ml, Nước ngọt Pepsi Cola Sleek lon 235ml",BHX Supermarket,14.68,bhx,,,,
BHX_30_v0,6 chai nước ngọt pepsi cola 390ml,pepsi,FMCG,53000,45000,249.0,"Sữa đặc Ông Thọ nhãn xanh hộp 380g, Thùng 24 lon nước ngọt Pepsi không calo 320ml",BHX Supermarket,15.09,bhx,,,,
BHX_34_v0,nước ngọt 7 up vị chanh chai 1.5 lít,other,FMCG,25000,22000,375.0,"Sữa đặc Ông Thọ đỏ tuýp 165g, Thùng 24 lon nước ngọt Sprite chanh 320ml",BHX Supermarket,12.0,bhx,,,,
BHX_36_v0,nước ngọt mirinda cam chai 1.5 lít,other,FMCG,25000,22000,159.0,"Thùng 36 hộp sữa đậu nành Fami Canxi ít đường 200ml, 6 lon nước ngọt Fanta cam 320ml",BHX Supermarket,12.0,bhx,,,,
BHX_38_v0,nước ngọt pepsi cola chai 1.5 lít,pepsi,FMCG,25000,22000,337.0,"/6 lon 320ml, /36 hộp 200ml",BHX Supermarket,12.0,bhx,,,,
BHX_42_v0,6 lon nước ngọt soda chanh 7 up 320ml,other,FMCG,71000,60000,300.0,"Nước ngọt Mirinda cam lon 320ml, /48 hộp 180ml",BHX Supermarket,15.49,bhx,,,,
BHX_46_v0,thùng 24 lon nước ngọt soda chanh 7 up 320ml,other,FMCG,271000,232000,75.0,"/Lon 320ml, Thùng 36 hộp sữa đậu nành Fami Canxi 200ml",BHX Supermarket,14.39,bhx,,,,
BHX_48_v0,nước ngọt mirinda vị dứa lon 320ml,other,FMCG,12000,10000,244.0,"/Chai 1.5 lít, /6 lon 320ml",BHX Supermarket,16.67,bhx,,,,
BHX_50_v0,nước ngọt pepsi vị phúc bồn tử lon 320ml,pepsi,FMCG,13000,11000,34.0,"/Lon 320ml, Nước ngọt Mirinda soda kem chai 1.5 lít",BHX Supermarket,15.38,bhx,,,,
