brand,brand_id
5cm 10 miếng,0
5cm 20 miếng,1
7up,2
acecook,3
acefoods,4
adm,5
aiken,6
aji-mayo,7
aji-ngon,8
ajinomoto,9
an vĩnh,10
anchor,11
angst trường vinh,12
anviet,13
aquafina,14
aquarius,15
ariel,16
axe,17
ba,18
ba vì,19
bakalland,20
banobagi,21
barona,22
bega,23
betagen,24
bibigo,25
binggrae,26
biore,27
biovegi,28
biên hòa,29
blendy,30
bless you,31
bonne maman,32
bánh,33
bảo minh,34
c,35
calbee,36
chanh 55g,37
chin-su,38
chinsu,39
choice l,40
cholimex,41
chungjungone,42
chuối,43
clear,44
close up,45
coba,46
coca,47
coca-cola,48
cocofresh,49
cocoxim,50
colgate,51
comfort,52
con bò cười,53
cosmic,54
cozy,55
cp,56
cà,57
cá,58
cô hường,59
dailyfood,60
dasani,61
dh foods,62
diana,63
dove,64
downy,65
dr clean,66
duck,67
durex,68
dutch lady,69
duyến hải,70
dưa hấu,71
dứa/khóm/thơm,72
dừa,73
elene,74
emmental,75
enchanteur,76
essence,77
famers union,78
fami,79
fanta,80
five goats,81
freshmart,82
fuzetea,83
g7,84
garnier,85
gervenne,86
gift,87
gillette,88
go green,89
gogreen,90
golden farm,91
good care,92
good mood,93
gotz,94
greek,95
greenfarm,96
ha noi,97
hagoka,98
hanufood,99
hatomugi,100
hazeline,101
hdc,102
head&shoulders,103
heinz,104
heo cao bồi,105
highlands coffee,106
hisea,107
hoff,108
homechoice,109
hoàn hảo,110
hoàng giang,111
humanwell,112
hành,113
hạnh phúc,114
hải nam,115
hảo hảo,116
hữu nghị,117
ice,118
jele beautie,119
johnsons,120
jomi,121
jumbo,122
kaka,123
kelloggs,124
kerasys,125
kewpie,126
khoai,127
kim bôi,128
king bbq,129
kinh đô,130
kinkin,131
kiễn lĩnh,132
knorr,133
kombucha,134
koreno,135
kotex,136
krunch,137
la vie,138
lactacyd,139
lactima,140
lashe,141
latino bella,142
laurier,143
lc food,144
lee kum kee,145
lenger,146
let-green,147
letgreen,148
life,149
lifebuoy,150
lipton,151
lipzo,152
listerine,153
loreal,154
lothamilk,155
lotte mart supermarket,156
lux,157
lý tưởng,158
maggi,159
marukyo,160
maruto,161
maya,162
mayan,163
meadow fresh,164
meat deli,165
meiji,166
meizan,167
mikko,168
milo,169
minute maid teppy,170
mirinda,171
miwon,172
molfix,173
mondahmin,174
monsavon,175
monster,176
morning,177
mr.viet,178
mua,179
muỗi á jet blue chai 600ml,180
mè,181
mì,182
mộc châu,183
mỹ ngoc,184
nam dương,185
nam ngư,186
natur fish,187
neptune,188
nescafe,189
neutrogena,190
ng ngo gia just in time joyal sauce,191
ngôi sao phương nam,192
ngọc nương,193
niva,194
nivea,195
nobrand,196
nutella,197
nutifood,198
nutri boost,199
oatta,200
ohh granola,201
okamura,202
ola,203
oliv,204
olivoilà,205
omachi,206
omo,207
onelife,208
oral clean,209
orsa food,210
other,211
otoki,212
ovaltine,213
p/s,214
pacow,215
paldo,216
palmolive,217
panda,218
pantene,219
pasta zara,220
pediasure,221
pepsi,222
phú hương,223
phú mỹ bakery,224
phúc thịnh,225
pocari,226
ponnie,227
pop puf,228
poppedcorn,229
pororo,230
president,231
purite,232
rejoice,233
resun,234
rockstar,235
romano,236
s&b,237
samyang,238
santa lucia,239
select,240
selsun,241
senka,242
sensi,243
sensodyne,244
sg food,245
sg milk,246
silkwell,247
simple,248
simply,249
solse,250
sonka,251
soonsoohan,252
spam,253
sprite,254
ssh deli,255
strongbow,256
sunlight,257
sunsilk,258
suzy,259
tasami,260
tea+,261
teddybear,262
tempo,263
th milk,264
th true milk,265
thiên nhiên xanh,266
thiên việt,267
thiên ý,268
thu dung,269
thu hằng,270
thuận phát,271
thành long,272
thùng,273
thơm tiền giang,274
thạch an,275
tippys,276
tohogenkai,277
tokbokki,278
tresemmé,279
trung nguyên,280
trung nguyên legend,281
trà,282
twister,283
táo ambrosia,284
táo breeze,285
táo fuji,286
tâm hòa,287
tường an,288
unidry,289
unknown,290
uucare,291
vfresh,292
vietchoice,293
vietcoco,294
vifon,295
vinabee,296
vinamilk,297
vinatea,298
vinda,299
vipep,300
vissan,301
vĩnh tiến,302
vị 2g,303
warrior,304
watersilk,305
westgold,306
wineco,307
winmart,308
winmart supermarket,309
wmhome,310
x-men,311
xuân an,312
xà,313
xúc,314
yakult,315
yomost,316
yến việt,317
zott,318
ông thọ,319
đà lạt milk,320
đại gia,321
đức việt,322
